Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25,DevOps-California,Active,2021-04-02,59768,bob.davis@example.com,-1651623197,Average,True
EMP1001,Bob,Brown,32,Finance-Texas,Active,2020-07-10,65305,bob.brown@example.com,-1898471390,Excellent,True
EMP1002,Alice,Jones,32,Admin-Nevada,Pending,2023-12-07,88146,alice.jones@example.com,-5596363211,Good,True
EMP1003,Eva,Davis,25,Admin-Nevada,Inactive,2021-11-27,69451,eva.davis@example.com,-3476490784,Good,True
EMP1004,Frank,Williams,25,Cloud Tech-Florida,Active,2022-01-05,109325,frank.williams@example.com,-1586734256,Poor,False
EMP1005,Alice,Garcia,40,Sales-Texas,Inactive,2020-06-10,88643,alice.garcia@example.com,-5409003485,Good,False
EMP1006,Frank,Jones,32,Admin-Nevada,Active,2020-04-03,96288,frank.jones@example.com,-4518376063,Good,False
EMP1007,Bob,Jones,30,Cloud Tech-Florida,Inactive,2022-07-17,94498,bob.jones@example.com,-4134327559,Average,True
EMP1008,Frank,Davis,35,Admin-Nevada,Inactive,2023-12-08,115566,frank.davis@example.com,-4177656123,Excellent,True
EMP1009,Charlie,Johnson,32,DevOps-New York,Active,2022-08-04,76562,charlie.johnson@example.com,-8156985699,Excellent,True
EMP1010,David,Williams,35,Cloud Tech-New York,Active,2024-07-06,72082,david.williams@example.com,-2720634590,Average,False
EMP1011,David,Davis,32,DevOps-California,Active,2023-09-04,84946,david.davis@example.com,-1238296576,Poor,True
EMP1012,Heidi,Williams,30,HR-New York,Active,2024-03-05,89296,heidi.williams@example.com,-2429543164,Excellent,False
EMP1013,Grace,Williams,32,Finance-California,Active,2020-10-10,85667,grace.williams@example.com,-2669300892,Good,False
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,2024-06-10,97634,alice.garcia@example.com,-1734206968,Excellent,True
EMP1015,Grace,Jones,40,Sales-Florida,Pending,2021-05-29,117975,grace.jones@example.com,-4215291085,Good,True
EMP1016,Alice,Brown,25,DevOps-Illinois,Inactive,2024-04-23,94867,alice.brown@example.com,-7713334475,Poor,False
EMP1017,Grace,Garcia,30,Finance-Texas,Pending,2024-11-28,100378,grace.garcia@example.com,-2639343625,Average,True
EMP1018,Charlie,Garcia,32,Cloud Tech-Nevada,Inactive,2024-09-19,94726,charlie.garcia@example.com,-2044397358,Excellent,False
EMP1019,Charlie,Williams,35,Admin-Illinois,Pending,2020-01-02,91926,charlie.williams@example.com,-7107256365,Average,True
EMP1020,Bob,Miller,35,HR-New York,Active,2021-05-08,111461,bob.miller@example.com,-9411800536,Excellent,True
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,2020-09-19,96183,bob.jones@example.com,-5990048963,Good,False
EMP1022,Charlie,Johnson,35,Sales-Illinois,Inactive,2021-03-09,115024,charlie.johnson@example.com,-6528092427,Average,True
EMP1023,David,Garcia,35,Finance-Nevada,Pending,2022-02-03,80667,david.garcia@example.com,-7572158623,Excellent,False
EMP1024,Bob,Brown,30,Admin-Texas,Inactive,2020-02-13,91182,bob.brown@example.com,-1502745643,Good,True
EMP1025,David,Miller,25,Cloud Tech-Nevada,Pending,2020-04-30,66026,david.miller@example.com,-9485625727,Average,False
EMP1026,Frank,Miller,25,Sales-New York,Inactive,2023-10-02,83979,frank.miller@example.com,-7032032073,Average,False
EMP1027,Heidi,Johnson,30,Finance-Florida,Active,2020-07-12,56785,heidi.johnson@example.com,-2761707586,Excellent,True
EMP1028,Grace,Garcia,40,Finance-Nevada,Active,2023-10-11,95742,grace.garcia@example.com,-7712151341,Excellent,False
EMP1029,Alice,Brown,40,DevOps-California,Active,2021-05-24,63411,alice.brown@example.com,-2849939088,Excellent,True
EMP1030,Charlie,Jones,40,Admin-California,Inactive,2021-05-26,111214,charlie.jones@example.com,-2613715040,Good,True
EMP1031,Bob,Smith,25,DevOps-Illinois,Active,2020-07-10,114846,bob.smith@example.com,-6591520176,Excellent,True
EMP1032,Charlie,Brown,40,Finance-Florida,Active,2024-11-05,78073,charlie.brown@example.com,-7490509758,Average,False
EMP1033,Grace,Johnson,25,Finance-California,Inactive,2021-08-07,79611,grace.johnson@example.com,-2304501895,Average,False
EMP1034,Heidi,Miller,30,Admin-California,Active,2020-04-29,90543,heidi.miller@example.com,-1642361031,Excellent,True
EMP1035,Frank,Jones,25,Cloud Tech-Illinois,Inactive,2022-10-26,114357,frank.jones@example.com,-6642147648,Excellent,True
EMP1036,Alice,Brown,32,Cloud Tech-New York,Active,2023-05-03,54757,alice.brown@example.com,-2515837766,Poor,False
EMP1037,Grace,Smith,25,Sales-New York,Pending,2023-05-02,52782,grace.smith@example.com,-4996165925,Average,True
EMP1038,Frank,Smith,35,Admin-Nevada,Pending,2021-10-05,66708,frank.smith@example.com,-6108573277,Good,True
EMP1039,Eva,Williams,40,HR-Texas,Active,2022-07-27,93481,eva.williams@example.com,-8147617421,Poor,False
EMP1040,Bob,Williams,25,Sales-New York,Pending,2021-06-27,59272,bob.williams@example.com,-4386490809,Excellent,True
EMP1041,Bob,Davis,30,HR-California,Active,2022-06-16,108362,bob.davis@example.com,-8186617944,Excellent,False
EMP1042,Alice,Johnson,32,HR-Nevada,Active,2024-12-03,59400,alice.johnson@example.com,-4918017225,Average,True
EMP1043,Bob,Garcia,32,Admin-California,Inactive,2023-05-23,64744,bob.garcia@example.com,-164597793,Excellent,False
EMP1044,Eva,Brown,32,Finance-California,Active,2020-07-08,94400,eva.brown@example.com,-5232194167,Good,True
